,Years,personal,corporate,consumption,other taxes,autonomous,federal transfers,total revenue,mission health,mission education,other missions,mission spending,debt service,total spending,surplus,generation fund,fund contribution,net surplus,reserve,debt,gross debt,gdp,debt-to-gdp,gdp growth,pop growth,emp growth
0,2019,31773.0,9183.0,21001.0,29669.0,91626.0,23120.0,114746.0,41522.0,23887.0,32335.0,97744.0,8722.0,106466.0,8280.0,8293.0,3477.0,4803.0,,195188.0,199098.0,458733.0,0.43401717338844165,0.022653658094013096,,
1,2020,37311.524462074056,10751.366996662444,24568.725218501986,34736.176350209964,107367.79302744845,27068.6709095977,134436.46393704615,49252.58037074502,27658.761870372084,37857.50319471634,114768.84543583344,8422.715792857145,123191.56122869058,11244.90270835557,15489.197515164675,2673.1975151646748,8571.705193190895,15745.705193190895,203399.60913741312,202197.56521696388,537080.1302929275,0.3764756017071118,0.020790264255955992,-0.0016157816716013684,0.012134616955524535
2,2021,43752.908094108796,12559.9562757158,28700.9574660172,40579.47759383774,125593.29942967954,31622.148436736283,157215.4478664158,58241.182176483344,32151.927319037964,44225.872391949306,134618.9818874706,8483.21655538111,143102.19844285172,14113.249423564092,18359.519059442537,2870.3215442778605,11242.927879286231,21465.329766427756,199570.93567189647,197901.9476407192,627427.466212342,0.3154180495721918,0.018219471962476762,0.005969244900647652,0.009563824662045306
3,2022,51210.31795589716,14675.31515377792,33455.1955475481,47413.908885705896,146754.73754292907,36947.97847711483,183702.7160200439,68658.14815083459,37015.66920496489,51674.432701449325,157348.2500572488,8323.533524201455,165671.78358145026,18030.93243859365,21511.642833950355,3152.1237745078183,14878.808664085831,24850.76753721754,190057.60566671225,188047.5277703152,733099.351675706,0.25651029064543485,0.018420879151632607,0.004766553918422289,0.00976523185120115
4,2023,59772.43435402967,17117.582054107745,38922.65600461502,55304.534679660515,171117.20709241295,43096.86345322564,214214.0705456386,80033.58966721194,42821.57712208163,60274.09514533092,183129.2619346245,7926.759710628093,191056.0216452526,23158.048900386,24963.54535032192,3451.9025163715664,19706.14638401443,28658.40324678789,176468.65441348558,174252.12570328964,855101.7933602318,0.20377939451926963,0.016420064900691488,0.0029708694187693396,0.007764417600260032
5,2024,69988.09318561919,20002.534944264713,45466.86410263464,64625.417539082,200082.90977160053,50360.297061025834,250443.20683262637,95885.87360088319,49388.537541052625,70432.53483859301,215706.94598052884,7360.003379431018,223066.94935995986,27376.257472666504,28710.903325398496,3747.357975076574,23628.89949758993,33460.042403993975,160340.20065003127,158210.03716181696,999218.4321667632,0.1583337857556782,0.01853740680417316,0.007188116562337754,0.009881759503741705
6,2025,81984.94146703975,23390.43449559722,53139.64464803526,75571.25133941785,234086.2719500901,58889.997336187276,292976.26928627735,114768.5735154083,56915.794089776246,82361.94047861661,254046.30808380115,6687.331654253806,260733.63973805495,32242.62954822241,0.0,4036.3217539148036,28206.307794307606,39110.04596070824,108192.58425265473,139275.39729303075,1168459.5652258305,0.11919573551191967,0.01937350994624366,0.007174946064466781,0.010717862645812204
7,2026,95828.77857689923,27274.402665151745,62005.1645612034,88119.81407735895,273228.1598806133,68668.6474592517,341896.807339865,136322.200234679,65345.546237479895,96038.09323507364,297705.83970723255,4512.403567508936,302218.24327474146,39678.56406512356,0.0,0.0,39678.56406512356,45332.73649121122,78416.66115929767,114660.75739395374,1362481.602721666,0.0841558206473465,0.016049423762760983,0.005124197498201255,0.007393776462329527
8,2027,111886.66754250736,31840.271415374875,72311.06889225205,102871.50306248042,318909.5109126147,80164.11577082294,399073.6266834376,162277.03631313826,76142.18250076796,112115.34097965222,350534.55979355844,3270.534889350994,353805.09468290943,45268.53200052818,0.0,0.0,45268.53200052818,53070.76420243641,45182.149060308206,87493.68473294456,1590567.704147791,0.055007834312732214,0.017404903648243663,0.006055805689229032,0.008749256347812207
9,2028,130592.88444696844,37188.17458361492,84234.99397958683,120149.83684212907,372165.88985229924,93628.50880683621,465794.39865913545,191461.28770552258,88832.8560349264,130946.27302201773,411240.4167624667,1884.4183454509975,413124.8351079177,52669.563551217725,0.0,0.0,52669.563551217725,61968.725266187656,6428.09512005929,55846.291182767876,1857720.0142943948,0.03006173737326052,0.01796035116891871,0.004506448080011438,0.009304703868487252
10,2029,152356.24421961,43366.571242394944,98278.55728041197,140111.37996195315,434112.75270437007,109183.8317678505,543296.5844722206,228147.3245905314,104421.2497004555,152701.52250058157,485270.0967915685,268.0974814716157,485538.1942730401,57758.39019918052,0.0,0.0,57758.39019918052,72830.72914095601,-34617.133437901044,23011.33970496572,2166359.286261305,0.010622125263754658,0.01613874512416159,0.006173294032608467,0.007483097823730134
