,Years,personal,corporate,consumption,other taxes,autonomous,federal transfers,total revenue,mission health,mission education,other missions,mission spending,debt service,total spending,surplus,generation fund,fund contribution,net surplus,reserve,debt,gross debt,gdp,debt-to-gdp,gdp growth,pop growth,emp growth
0,2019,31773.0,9183.0,21001.0,29669.0,91626.0,23120.0,114746.0,41522.0,23887.0,32335.0,97744.0,8722.0,106466.0,8280.0,8293.0,3477.0,4803.0,,195188.0,199098.0,458733.0,0.43401717338844165,0.022653658094013096,,
1,2020,38924.42591575637,11210.516996662445,25632.925730485265,36219.62635020996,111987.49499311404,28224.670909597702,140212.16590271174,51393.9969086035,28861.316734301305,39474.25319471634,119729.56683762114,8422.715792857145,128152.28263047828,12059.883272233463,15489.197515164675,2673.1975151646748,9386.685757068788,16560.685757068786,203461.5591374131,202869.66521696385,560016.7802929275,0.3622564043721136,0.020790264255955992,-0.0016157816716013684,0.012134616955524535
2,2021,47618.010189776636,13656.870096100494,31241.18490061399,44123.454087031016,136639.51927352214,34383.843691804796,171023.36296532693,63415.72955322195,35008.52577649502,48088.30388298043,146512.5592126974,8485.80031288111,154998.3595255785,16025.003439748427,18359.519059442537,2870.3215442778605,13154.681895470567,23249.753928836773,198838.57440740196,198627.24066677838,682223.3463785766,0.29114694142489367,0.018219471962476762,0.005969244900647652,0.009563824662045306
3,2022,58144.21288055173,16639.815668950407,37993.58204963665,53760.93771992701,166538.5483190658,41893.99305958112,208432.5413786469,78008.56743956092,42056.76100020011,58591.793494011894,178657.12193377293,8292.988828320145,186950.11076209307,21482.430616553844,21511.642833950355,3152.1237745078183,18330.306842046026,28042.51661431396,187546.1278892769,188146.61296648867,831235.1694723541,0.22634582832427447,0.018420879151632607,0.004766553918422289,0.00976523185120115
4,2023,70800.93625182286,20241.005655960198,46117.387001779185,65395.883350395685,202555.21225995792,50960.69375648478,253515.9060164427,94886.82589552252,50768.72785351594,71272.23324463388,216927.78699367234,7822.013148182057,224749.8001418544,28766.105874588306,24963.54535032192,3451.9025163715664,25314.20335821674,33712.47002127815,170632.85975308856,172566.95047155485,1011131.1387972983,0.17066722984796673,0.016420064900691488,0.0029708694187693396,0.007764417600260032
5,2024,86486.21966569999,24664.422543122346,56204.71913241441,79687.33011345932,247042.69145469606,62097.511618968594,309140.2030736647,118623.75240029301,61100.279203467966,86847.88227505833,266571.9138788193,7116.609057844888,273688.52293666423,35451.680137000454,28710.903325398496,3747.357975076574,31704.32216192388,41053.278440499635,149597.1495093439,153662.021888369,1232101.1158090103,0.12471543115799626,0.01853740680417316,0.007188116562337754,0.009881759503741705
6,2025,105691.44188382596,30075.143487204354,68534.93139513905,97168.61941869385,301470.1361848632,75720.06070174937,377190.19688661257,148157.4238397644,73473.92382640032,105900.00704113611,327531.35470730084,6239.269685607566,333770.6243929084,43419.57249370415,0.0,4036.3217539148036,39383.25073978935,50065.59365893626,90536.82434161335,130502.73700352717,1502391.4621927163,0.08686333774358683,0.01937350994624366,0.007174946064466781,0.010717862645812204
7,2026,128881.951090568,36572.86090719721,83432.78814267785,118161.84365192574,367049.4437923688,92079.33618364361,459128.7799760124,183632.87210040685,88023.74311668267,128779.6425388459,400436.2577559354,3776.0322666477177,404212.29002258315,54916.48995342926,0.0,0.0,54916.48995342926,60631.84350338747,51121.11267258057,99721.63773525371,1826982.2718655446,0.05458270683350815,0.016049423762760983,0.005124197498201255,0.007393776462329527
8,2027,156986.2346089198,44523.98020886704,101514.76881030944,143850.80788597144,446875.79151406774,112097.8353946429,558973.6269087107,228099.48938355086,107026.80640198599,156776.96831685893,491903.2641023958,2132.1155492514144,494035.37965164724,64938.247257063456,0.0,0.0,64938.247257063456,74105.30694774709,5663.647979857811,64830.16551103546,2224177.176647523,0.029147932184410433,0.017404903648243663,0.006055805689229032,0.008749256347812207
9,2028,191156.22231748953,54228.44257062969,123376.53069588252,175204.58048873045,543965.7760727322,136530.7189625349,680496.4950352671,280822.32247354503,130293.95781592524,190948.13138640003,602064.4116758703,236.21457538849833,602300.6262512588,78195.86878400831,0.0,0.0,78195.86878400831,90345.09393768881,-48975.75730925283,23086.715160462278,2708959.6151315114,0.008522354866977775,0.01796035116891871,0.004506448080011438,0.009304703868487252
10,2029,232658.596420243,65949.31009788325,150180.77226670028,213073.0786555698,661861.7574403964,166040.2972299968,827902.0546703931,349180.061594924,159816.988727192,232219.42088806,741216.471210176,-2042.6389066337667,739173.8323035423,88728.22236685082,0.0,0.0,88728.22236685082,110876.07484553134,-108274.90498504456,-20636.940145180786,3294470.746938068,-0.006264113944359979,0.01613874512416159,0.006173294032608467,0.007483097823730134
11,2030,283473.6309812756,80241.12539433068,182728.7671208364,259247.9526651852,805691.4761616279,202022.73974920233,1007714.2159108303,434374.56768364686,193762.4117645644,282543.4813923208,910680.4608405321,-4515.836930054824,906164.6239104773,101549.59200035303,0.0,0.0,101549.59200035303,135924.69358657158,-173949.48661160382,-67319.57773792234,4008412.5204745173,-0.016794573261624538,0.016709094837159443,0.005827517622293499,0.008053447536727987
12,2031,344724.0812892486,97679.6681158259,221581.25850323096,315589.4667677706,979574.4746760761,245927.68450810132,1225502.1591841774,533560.6379497241,235439.8005965023,343947.7369623468,1112948.1755085732,-7254.93608803682,1105693.2394205364,119808.91976364097,0.0,0.0,119808.91976364097,165853.98591308045,-250649.85794555518,-120846.41789138735,4879547.772381266,-0.024765905270031436,0.017326746550433102,0.0032055453240467102,0.008671099250001646
13,2032,419515.9184475162,118937.95038191615,269201.1145456529,384272.02982479264,1191927.013199878,299449.5712544812,1491376.584454359,661389.355351647,286728.3056299934,418801.98471079796,1366919.6456924384,-10453.889432457836,1356465.7562599806,134910.8281943784,0.0,0.0,134910.8281943784,203469.8634389971,-331897.3164520661,-173844.41342358716,5941496.547157523,-0.02925936454625329,0.017632621774295375,0.005300742629827937,0.008976974473863919
14,2033,510358.6733013628,144793.6033393794,326970.8302633313,467808.0602718118,1449931.1671758853,364546.2386155342,1814477.4057914196,818112.5688634571,350074.4562666036,509844.4042228936,1678031.4293529543,-13842.488791168675,1664188.9405617856,150288.46522963396,0.0,0.0,150288.46522963396,249628.34108426783,-416491.2837230795,-224079.61634308973,7233105.0899143545,-0.0309797263495508,0.017387746084738597,0.005201386655819817,0.00873209878430714
15,2034,619803.7993903251,175958.3123252347,396039.2609058888,568496.9147748433,1760298.287396292,443009.4937340114,2203307.7811303036,1009134.3638494952,428005.2467255712,619580.9679882897,2056720.578563356,-17370.661468993298,2039349.9170943627,163957.86403594096,0.0,0.0,163957.86403594096,305902.4875641544,-500434.1378389764,-266608.6684602507,8789925.349873886,-0.030331164128040735,0.015235398989338466,0.0029643228334563787,0.0065797516889070096
16,2035,752816.9337372046,213943.71381738983,480076.12433449656,691222.4812423107,2138059.2531314017,538645.1773339924,2676704.430465394,1237199.8955239544,518664.57058862183,753334.4208085921,2509198.8869211683,-20871.678077441313,2488327.208843727,188377.22162166703,0.0,0.0,188377.22162166703,373249.08132655907,-592598.7892831515,-308295.71406659845,10687470.507523976,-0.028846462205398212,0.015877277919921783,0.00286228466541516,0.007221630619490327
17,2036,915750.2512111954,260316.84442942767,582391.2620987175,841047.6377411187,2599505.995480459,655398.6108252604,3254904.6063057194,1530642.111821182,625984.8276944517,916622.5813596372,3073249.520875271,-24715.6023616023,3048533.9185136687,206370.68779205065,0.0,0.0,206370.68779205065,457280.08777705027,-679815.6817487379,-333888.8111647998,13004021.234416272,-0.02567581251568046,0.016753882526407426,0.003863011889286838,0.00809823522597597
18,2037,1111554.5569853783,316316.6897043723,705310.0098674825,1021975.3748055124,3155156.6313627455,796389.1828340506,3951545.814196796,1886553.099110982,761539.4935432026,1113808.141303592,3761900.7339577763,-28353.169755220584,3733547.564202556,217998.24999424024,0.0,0.0,217998.24999424024,560032.1346303833,-752383.4161382874,-332040.1117211631,15801470.545372514,-0.021013241189656338,0.01512186580813547,0.00235151710401027,0.0064662185077040135
19,2038,1350981.0590580346,384716.3079122645,855886.4828685567,1242965.0592887918,3834548.9091276475,968598.610359529,4803147.519487176,2344551.7537640836,925572.0521743994,1354655.539185786,4624779.345124269,-31379.762620224723,4593399.582504044,209747.9369831318,0.0,0.0,209747.9369831318,689009.9373756066,-781246.3843625516,-270008.977692252,19218345.42932776,-0.01404954337433286,0.016237778258928148,0.0046252901836112414,0.007582130958496691
20,2039,1636811.5835077995,466609.14328308473,1035804.2143436222,1507549.4579185275,4646774.399053034,1174779.8532837764,5821554.252336811,2873171.0964622996,1132925.7250519933,1643014.9894433783,5649111.810957671,-32583.554559235286,5616528.256398436,205025.9959383756,0.0,0.0,205025.9959383756,842479.2384597653,-769846.6675291129,-149784.44652470486,23309268.444482118,-0.006425960852502111,0.012865515931017046,0.002637417803502018,0.004209868630585589
