var,emp,hours_c,earn_c,taxinc,cons
"age2529",.2677392,-.0225144,-.0071305,.0155919,.0102837
"age3034",.1533445,-.0133252,-.0177493,.0014339,.0046957
"age3539",.3398808,-.0319955,-.0098949,-.0087579,-.0124884
"age4549",.2527595,.022762,-.007816,-.0161146,-.0078917
"age5054",.2558305,.0233217,-.0111866,-.0329296,.0039311
"age5559",.4423194,.0080462,-.0084017,.0082959,.0096174
"age6064",.7696847,-.0374574,-.0293039,.0206028,.0090673
"male",-.2170215,-.0067612,-.0153851,-.0128454,-.0093305
"married",.0041232,.0234934,.0031021,.0002112,-.0033149
"des",-.5651947,-.0462008,-.0306319,-.0090674,-.006561
"dec",-.9108022,-.0170496,-.0273221,.0023435,-.0165645
"uni",-1.191968,-.0018568,-.0301948,-.0164063,-.044048
"cons",0,0,0,0,-8.11e-08
"constant",-.2619559,-.0576052,.0234312,-.0392266,-.0353435
