age;educ;insch;male;nkids;married;earn_c
18;dec;False;False;0;False;24494.548422461154
18;dec;False;False;0;True;25793.09937874579
18;dec;False;False;1;False;24675.73391844336
18;dec;False;False;1;True;26002.10091279176
18;dec;False;False;2;False;23190.514232461937
18;dec;False;False;2;True;24438.40332290742
18;dec;False;False;3;False;22337.93378110028
18;dec;False;False;3;True;23558.485289058237
18;dec;False;False;4;False;22337.93378110028
18;dec;False;False;4;True;23558.485289058237
18;dec;False;False;5;False;22337.93378110028
18;dec;False;False;5;True;23558.485289058237
18;dec;False;False;6;False;22337.93378110028
18;dec;False;False;6;True;23558.485289058237
18;dec;False;False;7;False;22337.93378110028
18;dec;False;False;7;True;23558.485289058237
18;dec;False;True;0;False;37939.73126811865
18;dec;False;True;0;True;39801.55486736849
18;dec;False;True;1;False;38901.61803452903
18;dec;False;True;1;True;40839.24644144178
18;dec;False;True;2;False;36611.32137568273
18;dec;False;True;2;True;38437.00556140059
18;dec;False;True;3;False;35972.464763783486
18;dec;False;True;3;True;37796.036016771875
18;dec;False;True;4;False;35972.464763783486
18;dec;False;True;4;True;37796.036016771875
18;dec;False;True;5;False;35972.464763783486
18;dec;False;True;5;True;37796.036016771875
18;dec;False;True;6;False;35972.464763783486
18;dec;False;True;6;True;37796.036016771875
18;dec;False;True;7;False;35972.464763783486
18;dec;False;True;7;True;37796.036016771875
18;dec;True;False;0;False;11280.281269430596
18;dec;True;False;0;True;14041.691194218414
18;dec;True;False;1;False;14398.875735236647
18;dec;True;False;1;True;17574.175888711434
18;dec;True;False;2;False;13444.809951245745
18;dec;True;False;2;True;16489.697686084965
18;dec;True;False;3;False;15813.027298442637
18;dec;True;False;3;True;19448.00500418653
18;dec;True;False;4;False;15813.027298442637
18;dec;True;False;4;True;19448.00500418653
18;dec;True;False;5;False;15813.027298442637
18;dec;True;False;5;True;19448.00500418653
18;dec;True;False;6;False;15813.027298442637
18;dec;True;False;6;True;19448.00500418653
18;dec;True;False;7;False;15813.027298442637
18;dec;True;False;7;True;19448.00500418653
18;dec;True;True;0;False;17735.821154537683
18;dec;True;True;0;True;21325.942010973344
18;dec;True;True;1;False;21808.68283086374
18;dec;True;True;1;True;25711.845844722644
18;dec;True;True;2;False;20552.402997060934
18;dec;True;True;2;True;24348.828300434907
18;dec;True;True;3;False;24299.868147848374
18;dec;True;True;3;True;28868.311853921725
18;dec;True;True;4;False;24299.868147848374
18;dec;True;True;4;True;28868.311853921725
18;dec;True;True;5;False;24299.868147848374
18;dec;True;True;5;True;28868.311853921725
18;dec;True;True;6;False;24299.868147848374
18;dec;True;True;6;True;28868.311853921725
18;dec;True;True;7;False;24299.868147848374
18;dec;True;True;7;True;28868.311853921725
18;des;False;False;0;False;9865.86366216659
18;des;False;False;0;True;12009.288133513743
18;des;False;False;1;False;10572.982383753757
18;des;False;False;1;True;12861.429108055088
18;des;False;False;2;False;11145.299571562116
18;des;False;False;2;True;13547.502221848086
18;des;False;False;3;False;6895.750859113221
18;des;False;False;3;True;8593.944101441522
18;des;False;False;4;False;6895.750859113221
18;des;False;False;4;True;8593.944101441522
18;des;False;False;5;False;6895.750859113221
18;des;False;False;5;True;8593.944101441522
18;des;False;False;6;False;6895.750859113221
18;des;False;False;6;True;8593.944101441522
18;des;False;False;7;False;6895.750859113221
18;des;False;False;7;True;8593.944101441522
18;des;False;True;0;False;20155.167147704124
18;des;False;True;0;True;23518.566409097817
18;des;False;True;1;False;21544.110758776987
18;des;False;True;1;True;25122.484036306672
18;des;False;True;2;False;22644.99420963685
18;des;False;True;2;True;26386.51197620634
18;des;False;True;3;False;15427.163194024417
18;des;False;True;3;True;18430.593567953034
18;des;False;True;4;False;15427.163194024417
18;des;False;True;4;True;18430.593567953034
18;des;False;True;5;False;15427.163194024417
18;des;False;True;5;True;18430.593567953034
18;des;False;True;6;False;15427.163194024417
18;des;False;True;6;True;18430.593567953034
18;des;False;True;7;False;15427.163194024417
18;des;False;True;7;True;18430.593567953034
18;des;True;False;0;False;11280.281269430596
18;des;True;False;0;True;14041.691194218414
18;des;True;False;1;False;14398.875735236647
18;des;True;False;1;True;17574.175888711434
18;des;True;False;2;False;13444.809951245745
18;des;True;False;2;True;16489.697686084965
18;des;True;False;3;False;15813.027298442637
18;des;True;False;3;True;19448.00500418653
18;des;True;False;4;False;15813.027298442637
18;des;True;False;4;True;19448.00500418653
18;des;True;False;5;False;15813.027298442637
