age;male;Drugs;Hospitals;Other Institutions;Other Professionals;Physicians;Total
0;False;69.3806115357492;7712.387000193126;41.548917379132526;3.2878994582148784;1294.6801351073786;9121.284563673602
0;True;44.766725504530456;8398.054959051673;65.16229730629102;2.8790962073097917;1463.852845252581;9974.715923322385
1;False;15.864082500112552;360.660605735653;57.4661934050996;92.35458599201353;561.3441448351851;1087.6896124680638
1;True;18.237601167422582;421.1849154697293;96.92451494990111;94.60905343708154;671.4786034199076;1302.434688444042
2;False;17.835979967668116;311.30318755945456;49.60393420240078;137.8717701475303;506.3020823899434;1022.9169542669971
2;True;21.92427372516447;365.6835851227646;84.13723984774983;140.31439733916554;609.0611067919958;1221.1206028268402
3;False;19.80787743522368;261.94576938325594;41.74167499970196;183.38895430304711;451.26001994470164;958.1442960659303
3;True;25.610946282906355;310.1822547758002;71.34996474559856;186.0197412412495;546.643610164084;1139.8065172096385
4;False;21.779774902779245;212.58835120705731;33.87941579700313;228.90613845856387;396.21795749945994;893.3716378648635
4;True;29.29761884064824;254.68092442883568;58.56268964344727;231.7250851433335;484.2261135361722;1058.4924315924368
5;False;23.751672370334813;163.2309330308587;26.017156594304307;274.4233226140807;341.1758950542182;828.5989796637966
5;True;32.98429139839013;199.17959408187124;45.775414541295994;277.4304290454175;421.8086169082604;977.1783459752353
6;False;26.814881786345836;178.8078046425279;28.498112135336438;231.28630587197998;337.7382680864265;803.1453725226166
6;True;38.647089051372454;201.0212231141355;46.20528374571512;230.65700001011749;407.94998270232924;924.4805786236698
7;False;29.878091202356863;194.38467625419713;30.979067676368572;188.14928912987926;334.3006411186348;777.6917653814367
7;True;44.30988670435479;202.86285214639975;46.63515295013425;183.88357097481747;394.0913484963981;871.7828112721044
8;False;32.94130061836789;209.96154786586635;33.4600232174007;145.01227238777855;330.86301415084307;752.2381582402566
8;True;49.972684357337116;204.70448117866403;47.06502215455337;137.1101419395175;380.23271429046696;819.085043920539
9;False;36.00451003437891;225.5384194775356;35.940978758432834;101.87525564567784;327.4253871830514;726.7845510990766
9;True;55.63548201031945;206.54611021092828;47.494891358972495;90.33671290421748;366.3740800845358;766.3872765689734
10;False;39.06771945038994;241.11529108920482;38.421934299464965;58.73823890357713;323.9877602152597;701.3309439578966
10;True;61.29827966330178;208.38773924319253;47.92476056339162;43.563283868917466;352.5154458786047;713.6895092174082
11;False;43.486661649481626;281.10884778179394;61.90018794184668;62.61981101094341;360.5908850163055;809.7063934003711
11;True;59.92709591691466;230.7355233494812;76.85267729521891;51.3792047619892;354.0805152379082;772.9750165615121
12;False;47.90560384857332;321.1024044743831;85.3784415842284;66.50138311830969;397.19400981735134;918.0818428428458
12;True;58.55591217052754;253.0833074557699;105.78059402704619;59.19512565506093;355.64558459721167;832.2605239056163
13;False;52.32454604766501;361.09596116697224;108.8566952266101;70.38295522567597;433.79713461839714;1026.4572922853206
13;True;57.18472842414043;275.43109156205855;134.7085107588735;67.01104654813267;357.2106539565151;891.5460312497203
14;False;56.7434882467567;401.0895178595614;132.33494886899183;74.26452733304224;470.40025941944293;1134.832741727795
14;True;55.81354467775331;297.77887566834727;163.63642749070078;74.82696744120439;358.7757233158186;950.8315385938243
15;False;61.162430445848386;441.0830745521505;155.81320251137353;78.14609944040852;507.0033842204888;1243.2081911702699
15;True;54.442360931366196;320.1266597746359;192.56434422252806;82.64288833427612;360.3407926751221;1010.1170459379284
16;False;63.68409265289728;460.34655481900614;136.28270244659885;89.42903857436804;535.1043872398188;1284.8467757326891
16;True;57.53392395437187;329.4302108579682;174.02380482114322;89.37778311120343;350.1868040198322;1000.5525267645189
17;False;66.20575485994617;479.6100350858618;116.75220238182413;100.71197770832757;563.2053902591489;1326.4853602951084
17;True;60.62548697737754;338.7337619413005;155.48326541975837;96.11267788813072;340.0328153645424;990.9880075911094
18;False;68.72741706699505;498.8735153527174;97.22170231704945;111.99491684228708;591.3063932784789;1368.123944857528
18;True;63.71705000038322;348.03731302463274;136.9427260183735;102.84757266505802;329.8788267092525;981.4234884177
19;False;71.24907927404394;518.1369956195731;77.69120225227475;123.2778559762466;619.407396297809;1409.7625294199474
19;True;66.80861302338889;357.34086410796505;118.40218661698864;109.58246744198533;319.7248380539627;971.8589692442906
20;False;73.77074148109283;537.4004758864287;58.16070218750005;134.56079511020613;647.508399317139;1451.4011139823667
20;True;69.90017604639456;366.6444151912973;99.8616472156038;116.31736221891262;309.5708493986728;962.2944500708811
21;False;75.93324782866804;617.0733215256671;57.07247823091788;136.07667539333409;708.364308696327;1594.5200316749142
21;True;73.97710748812281;369.58963529096474;106.1080021406137;112.8810103465436;311.03773291995395;973.5934881861988
22;False;78.09575417624328;696.7461671649056;55.984254274335704;137.592555676462;769.220218075515;1737.6389493674617
22;True;78.05403892985105;372.5348553906322;112.35435706562363;109.44465847417459;312.50461644123504;984.8925263015166
